type,date,name,code,close,pct_change,note
us_index,2026-08-11,美股医疗保健XLV,XLV,168.01,-0.26,美股收盘(隔夜)
us_index,2026-08-11,美股医疗保健XLV,XLV,168.01,-0.26,美股收盘(回填历史)
index,2026-08-11,十年国债收益率,十年国债收益率,1.7161,0,回填历史
index,2026-08-12,上证指数,000001,3940.46,0.16,盘中13:45
index,2026-08-12,中证消费,000932,12793.68,0.01,盘中13:45
index,2026-08-12,创业板指,399006,3591.53,1.19,盘中13:45
index,2026-08-12,恒生指数,HSI,25341.72,-1.21,盘中13:45
index,2026-08-12,恒生科技,HSTECH,4758.54,-1.37,盘中13:45
index,2026-08-12,上证指数,000001,3946.68,0.32,收盘20:00
index,2026-08-12,创业板指,399006,3602.08,1.49,收盘20:00
index,2026-08-12,中证消费,000932,12823.67,0.25,收盘20:00
index,2026-08-12,恒生指数,HSI,25440.17,-0.83,收盘20:00
index,2026-08-12,恒生科技,HSTECH,4776.44,-0.99,收盘20:00
us_index,2026-08-11,美股医疗XLV,XLV,168.01,-0.26,美股收盘(8/11)
